transcript_id,cell_id,overlaps_nucleus,feature_name,x_location,y_location,z_location,qv,fov_name,nucleus_distance,geometry,he_x,he_y
281474976710656,b'aagigajm-1',0,b'RUNX1',15.26035,486.19867,8.657274,37.950714,b'A1',0.0,b'\x01\x01\x00\x00\x00\xc3H\x84\x81\xb7\x0f\xd2@\xbbG\xb1#\xae\x02\xb3@',18494.867280074173,4866.68023212434
281474976710665,b'aagigajm-1',1,b'LUM',21.937006,493.70355,7.5370708,29.380022,b'A1',0.34712687,b'\x01\x01\x00\x00\x00t\xa5\x91Z\xdc\x08\xd2@Y\x89\x88\xf6\xdb\x1a\xb3@',18467.443027888847,4890.85923055032
281474976711672,b'aagigajm-1',0,b'FBLN1',29.091381,496.0345,11.436663,40.0,b'A1',6.8501573,b'\x01\x01\x00\x00\x00\xbbi\xff\xc1\xba\x06\xd2@.\x15\x13\xf7\xe74\xb3@',18458.918090680363,4916.906113808318
281474976711895,b'aagigajm-1',1,b'USP53',19.59229,493.38467,7.4828157,37.433323,b'A1',0.0,"b""\x01\x01\x00\x00\x00\x9c[\x1e/'\t\xd2@a\x1d\xf2\xfbS\x12\xb3@""",18468.61225089022,4882.328063137219
281474976712325,b'aagigajm-1',0,b'CTTN',17.404438,481.3339,9.6296835,40.0,b'A1',3.442091,b'\x01\x01\x00\x00\x007\x02\xd8\xb3&\x14\xd2@\xaa\xdf\xc4;\xa2\n\xb3@',18512.604726793445,4874.633724503141
281474976713515,b'aagigajm-1',1,b'CRISPLD2',22.335327,489.38437,7.7739744,40.0,b'A1',0.0,"b'\x01\x01\x00\x00\x00\xf5,=\x92\xca\x0c\xd2@\xbe\x0f\xd2\x08U\x1c\xb3@'",18483.165175718215,4892.332165840953
281474976714761,b'aagigajm-1',0,b'TCF4',21.019388,472.64267,6.8587265,37.726074,b'A1',12.217585,b'\x01\x01\x00\x00\x00\x0fD\xe5\n\x1d\x1c\xd2@4\x81\x07\x07\xfb\x17\xb3@',18544.4537900128,4887.980576008838
281474976715336,b'aagigajm-1',1,b'POSTN',18.816624,488.06705,7.480752,40.0,b'A1',0.0,b'\x01\x01\x00\x00\x00\x82\xb3\r\x95\xfe\r\xd2@\xe5gR=\x8b\x0f\xb3@',18487.977847504902,4879.5439044479035
281474976715344,b'aagigajm-1',0,b'POSTN',20.702753,484.6159,8.30895,40.0,b'A1',0.83306646,b'\x01\x01\x00\x00\x00\x12\x11ar\x1f\x11\xd2@\x1d\xbb\xccri\x16\xb3@',18500.491356150313,4886.411907954866
281474976715347,b'aagigajm-1',1,b'POSTN',22.571903,490.68127,8.805359,40.0,b'A1',0.0,b'\x01\x01\x00\x00\x00W\xcb\xa5Z\x9c\x0b\xd2@d6Vh.\x1d\xb3@',18478.443032692503,4893.181279552726
281474976715348,b'aagigajm-1',0,b'POSTN',23.257881,500.25464,11.84366,40.0,b'A1',6.979724,b'\x01\x01\x00\x00\x00\xbc\xe6\xc0\x86\xe5\x02\xd2@\xdf\xf1J\x93\x9f\x1f\xb3@',18443.586349702193,4895.623341259051
281474976715360,b'aagigajm-1',0,b'TRAPPC3',26.97144,496.4402,11.601213,40.0,b'A1',5.2921495,"b'\x01\x01\x00\x00\x00+\xe6\xd7a\\\x06\xd2@vx\x10\x1c,-\xb3@'",18457.44347188451,4909.172303227815
281474976715371,b'aagigajm-1',0,b'PTGDS',32.562687,490.10645,12.606878,40.0,b'A1',8.989464,"b'\x01\x01\x00\x00\x00\xf4n  ""\x0c\xd2@\xca\xff\xe4\xc1\x8dA\xb3@'",18480.533210857728,4929.553739845704
281474976715372,b'aagigajm-1',0,b'PTN',33.12159,492.3,11.869875,40.0,b'A1',9.868369,"b'\x01\x01\x00\x00\x00\xbd\x06\xfaL""\n\xd2@\x1b:\x10\xd4\x97C\xb3@'",18472.535948282795,4931.593079580484
281474976716738,b'aagigajm-1',1,b'SLC25A37',23.561687,489.6955,9.497075,40.0,b'A1',0.0,b'\x01\x01\x00\x00\x00/\xd6\xc9F\x81\x0c\xd2@\xde6\x1a&\xc2 \xb3@',18482.019945582546,4896.75839389648
281474976719392,b'aagigajm-1',0,b'AR',29.604258,485.2995,12.843915,40.0,b'A1',7.395656,b'\x01\x01\x00\x00\x00\x8c\x0c\x12\xf2\x83\x10\xd2@6x\xd0}\xc56\xb3@',18498.061649811032,4918.771451024388
281474976721406,b'aagigajm-1',0,b'SLC5A6',33.052265,492.02856,11.337783,20.555277,b'A1',9.750209,b'\x01\x01\x00\x00\x00-[2\xa3a\n\xd2@\xed\xa0\xf9\rWC\xb3@',18473.52558573631,4931.340056993283
281474976723722,b'aagigajm-1',0,b'CCDC6',22.633808,493.61823,7.8157015,40.0,b'A1',0.48651335,b'\x01\x01\x00\x00\x00\x00n.\xe4\xef\x08\xd2@M\t\n\tc\x1d\xb3@',18467.748302085325,4893.3868566773135
281474976725571,b'aagigajm-1',0,b'RUNX1',32.0744,490.3153,12.762095,25.601309,b'A1',8.516993,b'\x01\x01\x00\x00\x00S\xca\x9ec\xf1\x0b\xd2@[\x91\x9c\x06\xc6?\xb3@',18479.771705339033,4927.773538384902
281474976726922,b'aagigajm-1',0,b'FBLN1',24.489647,488.50888,8.131099,8.373186,b'A1',1.4094608,b'\x01\x01\x00\x00\x00`pX\xf1\x95\r\xd2@\xb3\x07\xc5\x80\x1e$\xb3@',18486.34285555815,4900.119152368908
281474976727291,b'aagigajm-1',1,b'ZEB2',21.165817,490.7254,7.7043176,40.0,b'A1',0.0,b'\x01\x01\x00\x00\x00@C\xd7\xa8\x92\x0b\xd2@\xeb\xcf\x15c\x12\x18\xb3@',18478.291555228876,4888.071824420224
281474976727295,b'aagigajm-1',0,b'TMEM147',23.02367,474.5003,10.507239,40.0,b'A1',10.931076,b'\x01\x01\x00\x00\x007\x9e\xdd\xf4j\x1a\xd2@*\xb4\x04;G\x1f\xb3@',18537.67119541598,4895.278244298921
